date,calories,smoothed_weight_lbs,fm_lbs_weak,ffm_lbs_weak,weight_pred_lbs,fat_pct_weak,tdee_weak
2014-03-11,1859,,53.48,156.6,210.08,25.46,2119.4
2014-03-12,1485,,53.38,156.61,209.99,25.42,2119.6
2014-03-13,1460,,53.17,156.62,209.79,25.35,2119.9
2014-03-14,1720,,52.96,156.62,209.58,25.27,2120.1
2014-03-15,1565,,52.82,156.63,209.45,25.22,2120.3
2014-03-16,1480,,52.63,156.64,209.27,25.15,2120.5
2014-03-17,1585,,52.42,156.65,209.07,25.07,2120.8
2014-03-18,1619,,52.24,156.65,208.9,25.01,2121.0
2014-03-19,1692,,52.07,156.66,208.73,24.95,2121.2
2014-03-20,2382,,51.92,156.67,208.59,24.89,2121.5
2014-03-21,2203,,51.97,156.68,208.65,24.91,2121.7
2014-03-22,2936,,51.97,156.69,208.65,24.91,2122.0
2014-03-23,1939,,52.17,156.69,208.87,24.98,2122.2
2014-03-24,1815,,52.09,156.7,208.8,24.95,2122.5
2014-03-25,2076,,51.98,156.71,208.69,24.91,2122.7
2014-03-26,1973,,51.94,156.72,208.66,24.89,2122.9
2014-03-27,3997,,51.87,156.73,208.6,24.87,2123.2
2014-03-28,1718,,52.38,156.73,209.11,25.05,2123.4
2014-03-29,2117,,52.24,156.74,208.98,25.0,2123.7
2014-03-30,1705,,52.21,156.75,208.96,24.98,2123.9
2014-03-31,1690,,52.06,156.76,208.82,24.93,2124.1
2014-04-01,2221,,51.91,156.76,208.67,24.88,2124.4
2014-04-02,1920,,51.91,156.77,208.68,24.87,2124.5
2014-04-03,3420,,51.82,156.78,208.6,24.84,2124.8
2014-04-04,2230,,52.16,156.79,208.95,24.97,2125.0
2014-04-05,2118,,52.17,156.79,208.96,24.96,2125.3
2014-04-06,2145,,52.14,156.8,208.94,24.95,2125.5
2014-04-07,1489,,52.12,156.81,208.92,24.94,2125.7
2014-04-08,2215,,51.91,156.82,208.72,24.87,2126.0
2014-04-09,1520,,51.9,156.82,208.73,24.87,2126.2
2014-04-10,1980,,51.7,156.83,208.53,24.79,2126.4
2014-04-11,2011,,51.63,156.84,208.47,24.77,2126.6
2014-04-12,3906,,51.57,156.85,208.42,24.74,2126.9
2014-04-13,3205,,52.05,156.85,208.9,24.92,2127.1
2014-04-14,2210,,52.33,156.86,209.19,25.02,2127.3
2014-04-15,2199,,52.33,156.87,209.19,25.01,2127.5
2014-04-16,1550,,52.32,156.87,209.19,25.01,2127.7
2014-04-17,3351,,52.12,156.88,209.0,24.94,2128.0
2014-04-18,1944,,52.45,156.89,209.33,25.05,2128.1
2014-04-19,2536,,52.36,156.89,209.26,25.02,2128.3
2014-04-20,2697,,52.45,156.9,209.35,25.05,2128.6
2014-04-21,2090,,52.59,156.9,209.49,25.1,2128.7
2014-04-22,2952,,52.55,156.91,209.46,25.09,2129.0
2014-04-23,1440,,52.75,156.92,209.67,25.16,2129.1
2014-04-24,2101,,52.53,156.92,209.45,25.08,2129.3
2014-04-25,1585,,52.49,156.93,209.42,25.06,2129.5
2014-04-26,2045,,52.3,156.93,209.24,25.0,2129.7
2014-04-27,1519,,52.25,156.94,209.19,24.98,2129.9
2014-04-28,1798,,52.05,156.95,208.99,24.9,2130.1
2014-04-29,1733,,51.92,156.95,208.88,24.86,2130.3
2014-04-30,1760,,51.78,156.96,208.74,24.81,2130.5
2014-05-01,2141,,51.65,156.97,208.61,24.76,2130.8
2014-05-02,1708,,51.62,156.97,208.59,24.75,2131.0
2014-05-03,1850,,51.47,156.98,208.45,24.69,2131.2
2014-05-04,1735,,51.36,156.99,208.34,24.65,2131.4
2014-05-05,1730,,51.22,156.99,208.21,24.6,2131.6
2014-05-06,1910,,51.07,157.0,208.07,24.55,2131.8
2014-05-07,3876,,50.98,157.01,207.98,24.51,2132.1
2014-05-08,1843,,51.45,157.01,208.46,24.68,2132.3
2014-05-09,2292,,51.33,157.02,208.35,24.64,2132.5
2014-05-10,2631,,51.35,157.03,208.38,24.64,2132.7
2014-05-11,1565,,51.46,157.03,208.5,24.68,2132.9
2014-05-12,1989,,51.27,157.04,208.31,24.61,2133.1
2014-05-13,2663,,51.2,157.05,208.24,24.59,2133.4
2014-05-14,1995,,51.32,157.05,208.37,24.63,2133.6
2014-05-15,2041,,51.25,157.06,208.31,24.6,2133.8
2014-05-16,1886,,51.19,157.07,208.26,24.58,2134.0
2014-05-17,2327,,51.09,157.07,208.16,24.54,2134.2
2014-05-18,1820,,51.12,157.08,208.2,24.55,2134.4
2014-05-19,1568,,50.99,157.09,208.08,24.51,2134.6
2014-05-20,2275,,50.8,157.09,207.9,24.44,2134.9
2014-05-21,1900,,50.81,157.1,207.91,24.44,2135.1
2014-05-22,1851,,50.71,157.11,207.82,24.4,2135.3
2014-05-23,2222,,50.6,157.11,207.72,24.36,2135.5
2014-05-24,3400,,50.6,157.12,207.72,24.36,2135.8
2014-05-25,2530,,50.93,157.13,208.05,24.48,2135.9
2014-05-26,2567,,51.01,157.13,208.14,24.51,2136.2
2014-05-27,2256,,51.1,157.14,208.24,24.54,2136.4
